name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,car_age,price_per_kilometer
Maruti Swift Dzire VDI,2014,450000,145500,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,74.0,5.0,11,23173.43943429493
Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1498.0,103.52,5.0,11,19053.716868198055
Honda City 2017-2020 EXi,2006,158000,140000,Petrol,Individual,Manual,Third Owner,19.41878335651954,1497.0,78.0,5.0,19,8136.452068041332
Hyundai i20 Sportz Diesel,2010,225000,127000,Diesel,Individual,Manual,First Owner,19.41878335651954,1396.0,90.0,5.0,15,11586.719717147465
Maruti Swift VXI BSIII,2007,130000,120000,Petrol,Individual,Manual,First Owner,19.41878335651954,1298.0,88.2,5.0,18,6694.549169907425
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,Petrol,Individual,Manual,First Owner,19.41878335651954,1197.0,81.86,5.0,8,22658.474113532822
Maruti Wagon R LXI DUO BSIII,2007,96000,175000,LPG,Individual,Manual,First Owner,19.41878335651954,1061.0,57.5,5.0,18,4943.667079316252
Maruti 800 DX BSII,2001,45000,5000,Petrol,Individual,Manual,Second Owner,19.41878335651954,796.0,37.0,4.0,24,2317.3439434294933
Toyota Etios VXD,2011,350000,90000,Diesel,Individual,Manual,First Owner,19.41878335651954,1364.0,67.1,5.0,14,18023.786226673834
Ford Figo Diesel Celebration Edition,2013,200000,169000,Diesel,Individual,Manual,First Owner,19.41878335651954,1399.0,68.1,5.0,12,10299.306415242192
Renault Duster 110PS Diesel RxL,2014,500000,68000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1461.0,108.45,5.0,11,25748.266038105477
Maruti Zen LX,2005,92000,100000,Petrol,Individual,Manual,Second Owner,19.41878335651954,993.0,60.0,5.0,20,4737.680951011408
Maruti Swift Dzire VDi,2009,280000,140000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1248.0,73.9,5.0,16,14419.028981339068
Maruti Swift 1.3 VXi,2007,200000,80000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1248.0,82.0,5.0,18,10299.306415242192
Maruti Wagon R LXI Minor,2009,180000,90000,Petrol,Individual,Manual,Second Owner,19.41878335651954,1061.0,67.0,5.0,16,9269.375773717973
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,Petrol,Individual,Manual,First Owner,19.41878335651954,1198.0,82.0,5.0,9,20598.612830484384
Maruti Ertiga SHVS VDI,2016,778000,70000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1248.0,88.5,7.0,9,40064.301955292125
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1396.0,90.0,5.0,13,25748.266038105477
Maruti Alto LX,2002,150000,80000,Petrol,Individual,Manual,Second Owner,19.41878335651954,796.0,46.3,5.0,23,7724.479811431644
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,Diesel,Individual,Manual,First Owner,19.41878335651954,1396.0,88.73,5.0,9,35017.64181182345
Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,Diesel,Individual,Manual,Second Owner,19.41878335651954,1461.0,64.1,5.0,14,8960.396581260708
Honda WR-V i-DTEC VX,2017,950000,50000,Diesel,Individual,Manual,First Owner,19.41878335651954,1498.0,98.6,5.0,8,48921.70547240041
Maruti Swift Dzire ZDI,2015,525000,40000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,74.0,5.0,10,27035.679340010753
Maruti SX4 ZDI,2012,600000,72000,Diesel,Individual,Manual,First Owner,19.41878335651954,1248.0,88.8,5.0,13,30897.919245726574
